date,country,clicks,impressions,ctr,position
2026-07-01,deu,0,2,0,10
2026-07-01,esp,0,1,0,16
2026-07-01,fra,0,17,0,8.588235294117647
2026-07-01,gbr,0,14,0,15.357142857142858
2026-07-01,guy,0,1,0,8
2026-07-01,hrv,0,1,0,28
2026-07-01,ind,0,1,0,62
2026-07-01,isl,0,2,0,22.5
2026-07-01,ita,0,1,0,11
2026-07-01,lie,0,1,0,24
2026-07-01,ltu,0,3,0,15.666666666666666
2026-07-01,lva,0,2,0,25
2026-07-01,mda,0,3,0,22.666666666666668
2026-07-01,mtq,0,1,0,5
2026-07-01,mys,0,1,0,17
2026-07-01,nld,0,1,0,8
2026-07-01,pak,0,1,0,48
2026-07-01,srb,0,2,0,31.5
2026-07-01,usa,0,70,0,15.785714285714286
2026-07-02,aus,0,1,0,16
2026-07-02,can,0,2,0,7
2026-07-02,deu,0,6,0,9.666666666666666
2026-07-02,esp,0,2,0,9
2026-07-02,gbr,0,4,0,8
2026-07-02,hrv,0,2,0,13
2026-07-02,irq,0,1,0,5
2026-07-02,ita,0,5,0,37.8
2026-07-02,jpn,0,1,0,11
2026-07-02,mda,0,1,0,8
2026-07-02,nld,0,4,0,7.75
2026-07-02,pak,0,2,0,6
2026-07-02,phl,0,2,0,8
2026-07-02,prt,0,1,0,5
2026-07-02,rou,0,2,0,11
2026-07-02,som,0,1,0,7
2026-07-02,swe,0,4,0,9.25
2026-07-02,zaf,0,1,0,9
2026-07-03,are,0,1,0,8
2026-07-03,aus,0,1,0,16
2026-07-03,bfa,0,1,0,9
2026-07-03,bhr,0,1,0,7
2026-07-03,bra,0,2,0,9.5
2026-07-03,can,0,3,0,10.666666666666666
2026-07-03,chn,0,1,0,20
2026-07-03,deu,0,4,0,17.5
2026-07-03,fra,0,14,0,9.285714285714286
2026-07-03,gbr,0,4,0,12.5
2026-07-03,gmb,0,1,0,8
2026-07-03,hrv,0,1,0,11
2026-07-03,idn,0,1,0,26
2026-07-03,ita,0,1,0,6
2026-07-03,jam,0,1,0,7
2026-07-03,ken,0,1,0,30
2026-07-03,mli,0,1,0,10
2026-07-03,nld,0,5,0,9
2026-07-03,nzl,0,1,0,8
2026-07-03,pak,0,1,0,10
2026-07-03,phl,0,7,0,9
2026-07-03,rus,0,1,0,8
2026-07-03,sau,0,1,0,82
2026-07-03,som,0,1,0,6
2026-07-03,swe,0,1,0,11
2026-07-03,twn,0,1,0,6
2026-07-03,ven,0,1,0,11
2026-07-04,alb,0,1,0,8
2026-07-04,are,0,1,0,5
2026-07-04,aus,0,3,0,13
2026-07-04,aut,0,1,0,9
2026-07-04,bra,0,1,0,14
2026-07-04,can,0,3,0,8
2026-07-04,civ,0,1,0,9
2026-07-04,deu,0,10,0,9.4
2026-07-04,esp,0,1,0,11
2026-07-04,fra,0,18,0,8.38888888888889
2026-07-04,gbr,0,5,0,16.2
2026-07-04,ind,0,3,0,25
2026-07-04,irl,0,2,0,10.5
2026-07-04,jor,0,1,0,4
2026-07-04,ltu,0,1,0,9
2026-07-04,mys,0,2,0,39
2026-07-04,nga,0,1,0,11
2026-07-04,nld,0,5,0,9.2
2026-07-04,nor,0,1,0,11
2026-07-04,phl,0,1,0,10
2026-07-04,pyf,0,1,0,9
2026-07-04,rou,0,1,0,11
2026-07-04,sau,0,1,0,5
2026-07-04,sgp,0,1,0,11
2026-07-04,ssd,0,1,0,9
2026-07-04,swe,0,1,0,9
2026-07-04,tur,0,1,0,10
2026-07-04,zaf,0,2,0,11
2026-07-05,are,0,4,0,43.75
2026-07-05,aut,0,2,0,68
2026-07-05,bel,0,1,0,9
2026-07-05,bra,0,6,0,12.333333333333334
2026-07-05,can,0,5,0,10.2
2026-07-05,deu,0,11,0,30.727272727272727
2026-07-05,egy,0,2,0,36.5
2026-07-05,esp,0,3,0,27.333333333333332
2026-07-05,fin,0,1,0,9
2026-07-05,fra,0,10,0,8
2026-07-05,geo,0,1,0,5
2026-07-05,hrv,0,1,0,10
2026-07-05,idn,0,2,0,45
2026-07-05,ind,0,1,0,8
2026-07-05,ita,0,2,0,18.5
2026-07-05,ltu,0,1,0,11
2026-07-05,mda,0,1,0,10
2026-07-05,mex,0,1,0,9
2026-07-05,mys,0,1,0,77
2026-07-05,nga,0,1,0,9
2026-07-05,nic,0,1,0,9
2026-07-05,nld,0,8,0,22.75
2026-07-05,pak,0,1,0,77
2026-07-05,phl,0,5,0,22.4
2026-07-05,rus,0,1,0,10
2026-07-05,sgp,0,1,0,7
2026-07-05,ury,0,1,0,9
2026-07-05,zaf,0,1,0,8
2026-07-06,aus,0,4,0,72.25
2026-07-06,can,0,3,0,17.666666666666668
2026-07-06,che,0,3,0,28
2026-07-06,deu,0,3,0,30.666666666666668
2026-07-06,esp,0,2,0,60.5
2026-07-06,est,0,1,0,10
2026-07-06,fra,0,16,0,13.1875
2026-07-06,gbr,0,10,0,16.8
2026-07-06,hkg,0,1,0,16
2026-07-06,hun,0,1,0,77
2026-07-06,idn,0,1,0,68
2026-07-06,ind,0,4,0,57.75
2026-07-06,irl,0,3,0,76.33333333333333
2026-07-06,ita,0,1,0,10
2026-07-06,jpn,0,1,0,76
2026-07-06,kor,0,1,0,7
2026-07-06,mng,0,1,0,19
2026-07-06,mys,0,2,0,8
2026-07-06,nld,0,6,0,10.833333333333334
2026-07-06,nor,0,1,0,9
2026-07-06,npl,0,1,0,9
2026-07-06,nzl,0,3,0,77.33333333333333
2026-07-06,phl,0,2,0,74
2026-07-06,pol,0,1,0,71
2026-07-06,prt,0,1,0,9
2026-07-06,sgp,0,1,0,77
2026-07-06,swe,0,1,0,9
2026-07-06,ukr,0,1,0,20
2026-07-06,vnm,0,1,0,72
2026-07-06,zaf,0,1,0,7
2026-07-06,zmb,0,1,0,10
2026-07-07,are,0,1,0,8
2026-07-07,arg,0,1,0,67
2026-07-07,aus,0,3,0,28.666666666666668
2026-07-07,aut,0,1,0,8
2026-07-07,bel,0,5,0,34
2026-07-07,bhr,0,1,0,72
2026-07-07,bra,0,1,0,59
2026-07-07,can,0,4,0,18
2026-07-07,che,0,3,0,48.333333333333336
2026-07-07,chl,0,1,0,57
2026-07-07,chn,0,1,0,11
2026-07-07,cyp,0,2,0,71
2026-07-07,dnk,0,1,0,10
2026-07-07,egy,0,1,0,70
2026-07-07,esp,0,10,0,57.5
2026-07-07,gbr,0,4,0,40.25
2026-07-07,idn,0,2,0,67
2026-07-07,ind,0,5,0,64.8
2026-07-07,ita,0,1,0,9
2026-07-07,kaz,0,1,0,11
2026-07-07,lka,0,1,0,78
2026-07-07,nga,0,1,0,10
2026-07-07,nld,0,3,0,7.333333333333333
2026-07-07,nzl,0,1,0,80
2026-07-07,pak,0,3,0,29
2026-07-07,phl,0,1,0,70
2026-07-07,pol,0,1,0,7
2026-07-07,prt,0,1,0,75
2026-07-07,rou,0,1,0,10
2026-07-07,rus,0,2,0,32.5
2026-07-07,sau,0,1,0,69
2026-07-07,sgp,0,1,0,12
2026-07-07,usa,0,54,0,33.53703703703704
2026-07-08,are,0,1,0,67
2026-07-08,arm,0,1,0,72
2026-07-08,aus,0,1,0,8
2026-07-08,aut,0,1,0,11
2026-07-08,bel,0,1,0,9
2026-07-08,bfa,0,1,0,11
2026-07-08,bgd,0,1,0,73
2026-07-08,bra,0,2,0,65.5
2026-07-08,can,0,4,0,72.75
2026-07-08,che,0,2,0,74
2026-07-08,chn,0,2,0,11
2026-07-08,cyp,0,1,0,69
2026-07-08,deu,0,3,0,23.666666666666668
2026-07-08,dnk,0,1,0,6
2026-07-08,esp,0,1,0,57
2026-07-08,fin,0,1,0,67
2026-07-08,fra,0,22,0,8.227272727272727
2026-07-08,gbr,0,9,0,48.333333333333336
2026-07-08,gha,0,1,0,8
2026-07-08,hun,0,1,0,70
2026-07-08,idn,0,2,0,30
2026-07-08,ind,0,9,0,66.55555555555556
2026-07-08,ita,0,1,0,63
2026-07-08,kaz,0,1,0,9
2026-07-08,kor,0,2,0,40
2026-07-08,ltu,0,1,0,7
2026-07-08,mex,0,2,0,38.5
2026-07-08,mmr,0,1,0,74
2026-07-08,mys,0,1,0,73
2026-07-08,nld,0,1,0,8
2026-07-08,nzl,0,1,0,76
2026-07-08,pak,0,1,0,9
2026-07-08,phl,0,3,0,51.666666666666664
2026-07-08,prt,0,1,0,77
2026-07-08,qat,0,1,0,5
2026-07-08,rou,0,1,0,73
2026-07-08,sgp,0,3,0,77.33333333333333
2026-07-08,swe,0,1,0,10
2026-07-08,tha,0,1,0,61
2026-07-08,usa,0,35,0,30.485714285714284
2026-07-09,alb,0,1,0,72
2026-07-09,are,0,2,0,71
2026-07-09,aus,0,3,0,32
2026-07-09,bgd,0,2,0,74.5
2026-07-09,bra,0,2,0,42
2026-07-09,brn,0,1,0,74
2026-07-09,btn,0,1,0,7
2026-07-09,can,0,2,0,6.5
2026-07-09,che,0,3,0,70.33333333333333
2026-07-09,chn,0,1,0,15
2026-07-09,cze,0,1,0,77
2026-07-09,dza,0,2,0,55.5
2026-07-09,fin,0,1,0,70
2026-07-09,fra,0,12,0,11.916666666666666
2026-07-09,gbr,0,4,0,8.25
2026-07-09,idn,0,4,0,57.25
2026-07-09,ind,0,8,0,78.5
2026-07-09,lby,0,1,0,12
2026-07-09,mar,0,1,0,67
2026-07-09,mex,0,1,0,69
2026-07-09,mys,0,1,0,75
2026-07-09,nld,0,2,0,9.5
2026-07-09,npl,0,1,0,17
2026-07-09,nzl,0,3,0,80
2026-07-09,pak,0,2,0,24
2026-07-09,per,0,1,0,69
2026-07-09,phl,0,7,0,39.42857142857143
2026-07-09,pri,0,1,0,6
2026-07-09,prt,0,2,0,7
2026-07-09,rou,0,1,0,69
2026-07-09,sau,0,1,0,63
2026-07-09,tur,0,1,0,72
2026-07-09,usa,0,79,0,44.063291139240505
2026-07-09,vnm,0,1,0,24
2026-07-09,zaf,0,2,0,7.5
2026-07-10,are,0,1,0,79
2026-07-10,aus,0,2,0,7.5
2026-07-10,bgd,0,1,0,33
2026-07-10,bgr,0,1,0,78
2026-07-10,bhr,0,1,0,73
2026-07-10,bra,0,5,0,16
2026-07-10,can,0,9,0,51.22222222222222
2026-07-10,che,0,1,0,76
2026-07-10,col,0,1,0,20
2026-07-10,cyp,0,1,0,68
2026-07-10,cze,0,1,0,83
2026-07-10,deu,0,1,0,7
2026-07-10,egy,0,3,0,73
2026-07-10,esp,0,1,0,14
2026-07-10,fra,0,23,0,8.565217391304348
2026-07-10,gbr,0,2,0,33
2026-07-10,guy,0,1,0,7
2026-07-10,ind,0,12,0,64.41666666666666
2026-07-10,ita,0,2,0,9.5
2026-07-10,lbn,0,1,0,8
2026-07-10,lva,0,1,0,72
2026-07-10,mar,0,3,0,30.333333333333332
2026-07-10,mex,0,1,0,22
2026-07-10,mys,0,3,0,49.333333333333336
2026-07-10,nga,0,2,0,10.5
2026-07-10,nld,0,4,0,36.5
2026-07-10,nor,0,1,0,11
2026-07-10,pak,0,10,0,45.4
2026-07-10,pol,0,2,0,40.5
2026-07-10,prt,0,4,0,9
2026-07-10,rou,0,1,0,74
2026-07-10,tha,0,2,0,71
2026-07-10,usa,0,78,0,39.14102564102564
2026-07-10,vnm,0,5,0,23.6
2026-07-10,zaf,0,1,0,71
2026-07-11,aus,0,6,0,46.333333333333336
2026-07-11,aut,0,1,0,64
2026-07-11,aze,0,1,0,9
2026-07-11,bgd,0,3,0,28
2026-07-11,bhr,0,1,0,70
2026-07-11,bra,0,7,0,33.857142857142854
2026-07-11,can,0,7,0,54.285714285714285
2026-07-11,che,0,1,0,73
2026-07-11,chn,0,3,0,8
2026-07-11,cyp,0,1,0,76
